team_id,team_name,team_short,league_id,is_mls_club,conference,asa_team_id
"c(""APk5LGOMOW"", ""KAqBN0Vqbg"")","c(""APk5LGOMOW"", ""KAqBN0Vqbg"")","c(""APk5LGOMOW"", ""KAqBN0Vqbg"")",mls,1,NA,"c(""APk5LGOMOW"", ""KAqBN0Vqbg"")"
"c(""mvzqoLZQap"", ""0KPqjA456v"")","c(""mvzqoLZQap"", ""0KPqjA456v"")","c(""mvzqoLZQap"", ""0KPqjA456v"")",mls,1,NA,"c(""mvzqoLZQap"", ""0KPqjA456v"")"
"c(""gpMOLwl5zy"", ""zeQZkL1MKw"")","c(""gpMOLwl5zy"", ""zeQZkL1MKw"")","c(""gpMOLwl5zy"", ""zeQZkL1MKw"")",mls,1,NA,"c(""gpMOLwl5zy"", ""zeQZkL1MKw"")"
"c(""19vQ2095K6"", ""0KPqjA456v"")","c(""19vQ2095K6"", ""0KPqjA456v"")","c(""19vQ2095K6"", ""0KPqjA456v"")",mls,1,NA,"c(""19vQ2095K6"", ""0KPqjA456v"")"
"c(""0KPqjA456v"", ""zeQZBOzQKw"")","c(""0KPqjA456v"", ""zeQZBOzQKw"")","c(""0KPqjA456v"", ""zeQZBOzQKw"")",mls,1,NA,"c(""0KPqjA456v"", ""zeQZBOzQKw"")"
"c(""a2lqRX2Mr0"", ""WBLMvYAQxe"")","c(""a2lqRX2Mr0"", ""WBLMvYAQxe"")","c(""a2lqRX2Mr0"", ""WBLMvYAQxe"")",mls,1,NA,"c(""a2lqRX2Mr0"", ""WBLMvYAQxe"")"
"c(""mvzqoLZQap"", ""9z5k7Yg5A3"")","c(""mvzqoLZQap"", ""9z5k7Yg5A3"")","c(""mvzqoLZQap"", ""9z5k7Yg5A3"")",mls,1,NA,"c(""mvzqoLZQap"", ""9z5k7Yg5A3"")"
"c(""NWMWlBK5lz"", ""zeQZBOzQKw"")","c(""NWMWlBK5lz"", ""zeQZBOzQKw"")","c(""NWMWlBK5lz"", ""zeQZBOzQKw"")",mls,1,NA,"c(""NWMWlBK5lz"", ""zeQZBOzQKw"")"
"c(""kRQabn8MKZ"", ""pzeQZ6xQKw"")","c(""kRQabn8MKZ"", ""pzeQZ6xQKw"")","c(""kRQabn8MKZ"", ""pzeQZ6xQKw"")",mls,1,NA,"c(""kRQabn8MKZ"", ""pzeQZ6xQKw"")"
"c(""9z5k7Yg5A3"", ""zeQZBOzQKw"")","c(""9z5k7Yg5A3"", ""zeQZBOzQKw"")","c(""9z5k7Yg5A3"", ""zeQZBOzQKw"")",mls,1,NA,"c(""9z5k7Yg5A3"", ""zeQZBOzQKw"")"
"c(""Z2vQ1xlqrA"", ""a2lqR4JMr0"")","c(""Z2vQ1xlqrA"", ""a2lqR4JMr0"")","c(""Z2vQ1xlqrA"", ""a2lqR4JMr0"")",mls,1,NA,"c(""Z2vQ1xlqrA"", ""a2lqR4JMr0"")"
"c(""kRQand1MKZ"", ""wvq9B9wQWn"")","c(""kRQand1MKZ"", ""wvq9B9wQWn"")","c(""kRQand1MKZ"", ""wvq9B9wQWn"")",mls,1,NA,"c(""kRQand1MKZ"", ""wvq9B9wQWn"")"
"c(""jYQJ8EW5GR"", ""kRQabn8MKZ"")","c(""jYQJ8EW5GR"", ""kRQabn8MKZ"")","c(""jYQJ8EW5GR"", ""kRQabn8MKZ"")",mls,1,NA,"c(""jYQJ8EW5GR"", ""kRQabn8MKZ"")"
"c(""zeQZkL1MKw"", ""KAqBN0Vqbg"")","c(""zeQZkL1MKw"", ""KAqBN0Vqbg"")","c(""zeQZkL1MKw"", ""KAqBN0Vqbg"")",mls,1,NA,"c(""zeQZkL1MKw"", ""KAqBN0Vqbg"")"
"c(""NWMWlBK5lz"", ""a2lqR4JMr0"")","c(""NWMWlBK5lz"", ""a2lqR4JMr0"")","c(""NWMWlBK5lz"", ""a2lqR4JMr0"")",mls,1,NA,"c(""NWMWlBK5lz"", ""a2lqR4JMr0"")"
"c(""APk5LGOMOW"", ""a2lqR4JMr0"")","c(""APk5LGOMOW"", ""a2lqR4JMr0"")","c(""APk5LGOMOW"", ""a2lqR4JMr0"")",mls,1,NA,"c(""APk5LGOMOW"", ""a2lqR4JMr0"")"
"c(""WBLMvYAQxe"", ""pzeQZ6xQKw"")","c(""WBLMvYAQxe"", ""pzeQZ6xQKw"")","c(""WBLMvYAQxe"", ""pzeQZ6xQKw"")",mls,1,NA,"c(""WBLMvYAQxe"", ""pzeQZ6xQKw"")"
"c(""pzeQZ6xQKw"", ""jYQJ19EqGR"")","c(""pzeQZ6xQKw"", ""jYQJ19EqGR"")","c(""pzeQZ6xQKw"", ""jYQJ19EqGR"")",mls,1,NA,"c(""pzeQZ6xQKw"", ""jYQJ19EqGR"")"
"c(""zeQZBOzQKw"", ""pzeQZ6xQKw"")","c(""zeQZBOzQKw"", ""pzeQZ6xQKw"")","c(""zeQZBOzQKw"", ""pzeQZ6xQKw"")",mls,1,NA,"c(""zeQZBOzQKw"", ""pzeQZ6xQKw"")"
"c(""gpMOLwl5zy"", ""APk5LGOMOW"")","c(""gpMOLwl5zy"", ""APk5LGOMOW"")","c(""gpMOLwl5zy"", ""APk5LGOMOW"")",mls,1,NA,"c(""gpMOLwl5zy"", ""APk5LGOMOW"")"
"c(""mvzqoLZQap"", ""eVq3ya6MWO"")","c(""mvzqoLZQap"", ""eVq3ya6MWO"")","c(""mvzqoLZQap"", ""eVq3ya6MWO"")",mls,1,NA,"c(""mvzqoLZQap"", ""eVq3ya6MWO"")"
"c(""pzeQZ6xQKw"", ""kRQabn8MKZ"")","c(""pzeQZ6xQKw"", ""kRQabn8MKZ"")","c(""pzeQZ6xQKw"", ""kRQabn8MKZ"")",mls,1,NA,"c(""pzeQZ6xQKw"", ""kRQabn8MKZ"")"
"c(""YgOMngl5wN"", ""jYQJ8EW5GR"")","c(""YgOMngl5wN"", ""jYQJ8EW5GR"")","c(""YgOMngl5wN"", ""jYQJ8EW5GR"")",mls,1,NA,"c(""YgOMngl5wN"", ""jYQJ8EW5GR"")"
"c(""gpMOLwl5zy"", ""kaDQ0wRqEv"")","c(""gpMOLwl5zy"", ""kaDQ0wRqEv"")","c(""gpMOLwl5zy"", ""kaDQ0wRqEv"")",mls,1,NA,"c(""gpMOLwl5zy"", ""kaDQ0wRqEv"")"
"c(""EKXMeX3Q64"", ""eVq3ya6MWO"")","c(""EKXMeX3Q64"", ""eVq3ya6MWO"")","c(""EKXMeX3Q64"", ""eVq3ya6MWO"")",mls,1,NA,"c(""EKXMeX3Q64"", ""eVq3ya6MWO"")"
"c(""KAqBN0Vqbg"", ""a2lqR4JMr0"")","c(""KAqBN0Vqbg"", ""a2lqR4JMr0"")","c(""KAqBN0Vqbg"", ""a2lqR4JMr0"")",mls,1,NA,"c(""KAqBN0Vqbg"", ""a2lqR4JMr0"")"
